Area Identifier,Area Name,House Prices: Reference Period = 2011; measure type = Lower Quartile,House Prices: Reference Period = 2011; measure type = Mean,House Prices: Reference Period = 2011; measure type = Median,House Prices: Reference Period = 2011; measure type = Upper Quartile,House Prices: Reference Period = 2012; measure type = Lower Quartile,House Prices: Reference Period = 2012; measure type = Mean,House Prices: Reference Period = 2012; measure type = Median,House Prices: Reference Period = 2012; measure type = Upper Quartile,House Prices: Reference Period = 2010; measure type = Lower Quartile,House Prices: Reference Period = 2010; measure type = Mean,House Prices: Reference Period = 2010; measure type = Median,House Prices: Reference Period = 2010; measure type = Upper Quartile,House Prices: Reference Period = 2009; measure type = Lower Quartile,House Prices: Reference Period = 2009; measure type = Mean,House Prices: Reference Period = 2009; measure type = Median,House Prices: Reference Period = 2009; measure type = Upper Quartile
http://statistics.gov.scot/id/statistical-geography/S01000063,S01000063,230500,331927,315000,362500,220000,313239,296635,355000,200000,277319,277000,315000,160000,279103,249950,415000
http://statistics.gov.scot/id/statistical-geography/S01000064,S01000064,115000,135514,125000,155500,100000,143436,155000,180000,95500,122098,121311,136500,95689,118175,101760,141250
http://statistics.gov.scot/id/statistical-geography/S01000065,S01000065,128000,172874,168605,200000,110500,179936,159500,232000,124950,190386,165250,250000,115555,146481,158000,175000
http://statistics.gov.scot/id/statistical-geography/S01000066,S01000066,62500,116692,79000,181000,59000,94847,78750,125000,70500,104613,83000,120000,62500,78143,80000,90000
http://statistics.gov.scot/id/statistical-geography/S01000067,S01000067,187000,228879,232284,269000,150000,218020,195000,276000,170000,221254,225000,250000,175000,240371,210000,277000
http://statistics.gov.scot/id/statistical-geography/S01000068,S01000068,193000,273146,240080,332667,160000,210275,197550,221000,176000,246607,215000,314637,120000,209444,181500,284000
http://statistics.gov.scot/id/statistical-geography/S01000069,S01000069,22750,55125,55125,87500,50000,75008,70000,77802,82500,100525,92500,133100,71500,81875,80000,83500
http://statistics.gov.scot/id/statistical-geography/S01000070,S01000070,115000,115000,115000,115000,91000,108000,108000,125000,92000,100900,100000,117500,67250,135750,99250,204250
http://statistics.gov.scot/id/statistical-geography/S01000071,S01000071,77500,82438,82250,88000,83000,134000,134000,185000,65250,70875,69250,76500,80000,85167,84000,90000
http://statistics.gov.scot/id/statistical-geography/S01000072,S01000072,119000,268464,177500,450000,107500,247145,138500,308500,225000,330333,250000,450000,115000,233125,150000,380000
